date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:00:03	4554/4554	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Jan%202023%2021:00:03%20GMT	https://slimhamdi.net/index.html	C:/My%20Web%20Sites/aysun/slimhamdi.net/index.html	(from )
01:00:03	196/196	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Jan%202023%2021:00:03%20GMT	https://slimhamdi.net/robots.txt		(from )
01:00:03	159515/159515	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2012:51:10%20GMT	https://slimhamdi.net/css/bootstrap.min.css	C:/My%20Web%20Sites/aysun/slimhamdi.net/css/bootstrap.min.css	(from https://slimhamdi.net/index.html)
01:00:04	842/842	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2012:51:20%20GMT	https://slimhamdi.net/css/preloader.min.css	C:/My%20Web%20Sites/aysun/slimhamdi.net/css/preloader.min.css	(from https://slimhamdi.net/index.html)
01:00:04	27049/27049	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2012:51:13%20GMT	https://slimhamdi.net/css/circle.css	C:/My%20Web%20Sites/aysun/slimhamdi.net/css/circle.css	(from https://slimhamdi.net/index.html)
01:00:04	31000/31000	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2012:51:34%20GMT	https://slimhamdi.net/css/font-awesome.min.css	C:/My%20Web%20Sites/aysun/slimhamdi.net/css/font-awesome.min.css	(from https://slimhamdi.net/index.html)
01:00:04	1261/1261	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2012:51:03%20GMT	https://slimhamdi.net/css/fm.revealator.jquery.min.css	C:/My%20Web%20Sites/aysun/slimhamdi.net/css/fm.revealator.jquery.min.css	(from https://slimhamdi.net/index.html)
01:00:05	29957/29957	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2012:51:25%20GMT	https://slimhamdi.net/css/style.css	C:/My%20Web%20Sites/aysun/slimhamdi.net/css/style.css	(from https://slimhamdi.net/index.html)
01:00:05	2606/2606	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202022%2013:53:03%20GMT	https://slimhamdi.net/css/skins/yellow.css	C:/My%20Web%20Sites/aysun/slimhamdi.net/css/skins/yellow.css	(from https://slimhamdi.net/index.html)
01:00:05	9226/9226	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jul%202022%2012:52:38%20GMT	https://slimhamdi.net/js/modernizr.custom.js	C:/My%20Web%20Sites/aysun/slimhamdi.net/js/modernizr.custom.js	(from https://slimhamdi.net/index.html)
01:00:05	12148/12148	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Jan%202023%2021:00:05%20GMT	https://slimhamdi.net/about.html	C:/My%20Web%20Sites/aysun/slimhamdi.net/about.html	(from https://slimhamdi.net/index.html)
01:00:05	67068/67068	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Jan%202023%2021:00:06%20GMT	https://slimhamdi.net/portfolio.html	C:/My%20Web%20Sites/aysun/slimhamdi.net/portfolio.html	(from https://slimhamdi.net/index.html)
01:00:06	7141/7141	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Jan%202023%2021:00:06%20GMT	https://slimhamdi.net/contact.html	C:/My%20Web%20Sites/aysun/slimhamdi.net/contact.html	(from https://slimhamdi.net/index.html)
01:00:06	3397/3397	---M--	200	added ('OK')	image/jpeg	etag:%225febd112-d45%22	http://via.placeholder.com/300x300.jpg	C:/My%20Web%20Sites/aysun/via.placeholder.com/300x300.jpg	(from https://slimhamdi.net/index.html)
01:00:06	89493/89493	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jul%202022%2012:52:47%20GMT	https://slimhamdi.net/js/jquery-3.5.0.min.js	C:/My%20Web%20Sites/aysun/slimhamdi.net/js/jquery-3.5.0.min.js	(from https://slimhamdi.net/index.html)
01:00:07	297/297	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jul%202022%2012:52:07%20GMT	https://slimhamdi.net/js/preloader.min.js	C:/My%20Web%20Sites/aysun/slimhamdi.net/js/preloader.min.js	(from https://slimhamdi.net/index.html)
01:00:07	2419/2419	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jul%202022%2012:52:39%20GMT	https://slimhamdi.net/js/fm.revealator.jquery.min.js	C:/My%20Web%20Sites/aysun/slimhamdi.net/js/fm.revealator.jquery.min.js	(from https://slimhamdi.net/index.html)
01:00:07	6893/6893	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jul%202022%2012:52:39%20GMT	https://slimhamdi.net/js/imagesloaded.pkgd.min.js	C:/My%20Web%20Sites/aysun/slimhamdi.net/js/imagesloaded.pkgd.min.js	(from https://slimhamdi.net/index.html)
01:00:07	25081/25081	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jul%202022%2012:52:16%20GMT	https://slimhamdi.net/js/masonry.pkgd.min.js	C:/My%20Web%20Sites/aysun/slimhamdi.net/js/masonry.pkgd.min.js	(from https://slimhamdi.net/index.html)
01:00:07	1835/1835	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jul%202022%2012:52:04%20GMT	https://slimhamdi.net/js/classie.js	C:/My%20Web%20Sites/aysun/slimhamdi.net/js/classie.js	(from https://slimhamdi.net/index.html)
01:00:08	12200/12200	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jul%202022%2012:52:53%20GMT	https://slimhamdi.net/js/cbpGridGallery.js	C:/My%20Web%20Sites/aysun/slimhamdi.net/js/cbpGridGallery.js	(from https://slimhamdi.net/index.html)
01:00:08	5307/5307	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jul%202022%2012:52:31%20GMT	https://slimhamdi.net/js/jquery.hoverdir.js	C:/My%20Web%20Sites/aysun/slimhamdi.net/js/jquery.hoverdir.js	(from https://slimhamdi.net/index.html)
01:00:08	21218/21218	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jul%202022%2012:52:41%20GMT	https://slimhamdi.net/js/popper.min.js	C:/My%20Web%20Sites/aysun/slimhamdi.net/js/popper.min.js	(from https://slimhamdi.net/index.html)
01:00:08	135079/135079	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jul%202022%2012:52:23%20GMT	https://slimhamdi.net/js/bootstrap.js	C:/My%20Web%20Sites/aysun/slimhamdi.net/js/bootstrap.js	(from https://slimhamdi.net/index.html)
01:00:09	4482/4482	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jul%202022%2012:52:27%20GMT	https://slimhamdi.net/js/custom.js	C:/My%20Web%20Sites/aysun/slimhamdi.net/js/custom.js	(from https://slimhamdi.net/index.html)
01:00:09	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2013%20Jul%202022%2013:19:06%20GMT	https://slimhamdi.net/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/aysun/slimhamdi.net/fonts/fontawesome-webfont3e6e.eot	(from https://slimhamdi.net/css/font-awesome.min.css)
01:00:09	77160/77160	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202022%2013:18:40%20GMT	https://slimhamdi.net/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/aysun/slimhamdi.net/fonts/fontawesome-webfont3e6e.html	(from https://slimhamdi.net/css/font-awesome.min.css)
01:00:09	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2013%20Jul%202022%2013:19:06%20GMT	https://slimhamdi.net/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/aysun/slimhamdi.net/fonts/fontawesome-webfontd41d.eot	(from https://slimhamdi.net/css/font-awesome.min.css)
01:00:10	98024/98024	---M--	200	added ('OK')	application/x-font-woff	date:Wed,%2013%20Jul%202022%2013:18:58%20GMT	https://slimhamdi.net/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/aysun/slimhamdi.net/fonts/fontawesome-webfont3e6e.woff	(from https://slimhamdi.net/css/font-awesome.min.css)
01:00:10	165548/165548	---M--	200	added ('OK')	application/x-font-ttf	date:Wed,%2013%20Jul%202022%2013:18:52%20GMT	https://slimhamdi.net/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/aysun/slimhamdi.net/fonts/fontawesome-webfont3e6e.ttf	(from https://slimhamdi.net/css/font-awesome.min.css)
01:00:10	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Jul%202022%2013:18:17%20GMT	https://slimhamdi.net/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/aysun/slimhamdi.net/fonts/fontawesome-webfont3e6e.svg	(from https://slimhamdi.net/css/font-awesome.min.css)
01:00:10	631/631	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jul%202022%2016:34:31%20GMT	https://slimhamdi.net/img/projects/navigation/right-arrow.png	C:/My%20Web%20Sites/aysun/slimhamdi.net/img/projects/navigation/right-arrow.png	(from https://slimhamdi.net/css/style.css)
01:00:11	624/624	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jul%202022%2016:34:31%20GMT	https://slimhamdi.net/img/projects/navigation/left-arrow.png	C:/My%20Web%20Sites/aysun/slimhamdi.net/img/projects/navigation/left-arrow.png	(from https://slimhamdi.net/css/style.css)
01:00:11	639/639	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jul%202022%2016:34:31%20GMT	https://slimhamdi.net/img/projects/navigation/close-button.png	C:/My%20Web%20Sites/aysun/slimhamdi.net/img/projects/navigation/close-button.png	(from https://slimhamdi.net/css/style.css)
01:00:11	41073/41073	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Jul%202022%2012:58:34%20GMT	https://slimhamdi.net/img/slimhamdi.jpg	C:/My%20Web%20Sites/aysun/slimhamdi.net/img/slimhamdi.jpg	(from https://slimhamdi.net/css/style.css)
01:00:11	4725/4725	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jul%202022%2012:58:38%20GMT	https://slimhamdi.net/img/favicon.png	C:/My%20Web%20Sites/aysun/slimhamdi.net/img/favicon.png	(from https://slimhamdi.net/about.html)
01:00:12	59850/59850	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Jul%202022%2012:58:31%20GMT	https://slimhamdi.net/img/slimhamdi-sm.jpg	C:/My%20Web%20Sites/aysun/slimhamdi.net/img/slimhamdi-sm.jpg	(from https://slimhamdi.net/about.html)
